2016-03-31 23:02:28,088 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:02:28,090 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:02:28,091 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:04:01,429 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:04:01,430 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:04:01,432 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:04:01,432 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:06:22,867 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:06:22,869 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:06:22,872 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:06:22,873 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:06:37,968 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:06:37,972 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:06:37,976 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:06:37,977 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:07:02,897 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:02,898 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:07:02,901 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:02,901 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:07:07,338 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:07,339 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:07:07,340 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:07,341 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:07:10,716 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:10,717 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:07:10,720 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:10,720 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:07:19,620 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ArabicRomansNumbers:ArabicRomansNumbers:0.0.1-SNAPSHOT @ /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/pom.xml.
2016-03-31 23:07:19,673 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:19,674 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:07:19,675 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:19,676 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:07:23,287 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:23,288 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:07:23,289 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:23,290 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
2016-03-31 23:07:28,550 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:28,552 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/main/resources
2016-03-31 23:07:28,553 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 23:07:28,554 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/lou/Desktop/universita/magistrale/progettazioneDelSoftware/eclipseTDD/ArabicRomansNumbers/src/test/resources
